Time	texts
10:07:00	Middle- income Americans have seen their income come down by $4,300. This is a -- this is
10:14:00	a tax in and of itself. I'll call it the economy tax. It's been crushing.
10:18:00	At the same time, gasoline prices have doubled under the president. Electric rates are up.
10:23:00	Food prices are up. Health care costs have gone up by $2,500 a family. Middle-income
10:29:00	families are being crushed.
10:31:00	ROMNEY: And so the question is how to get them going again. And I've described it. It's
10:34:00	energy and trade, the right kind of training programs, balancing our budget and helping
10:38:00	small business. Those are the -- the cornerstones of my plan.
10:42:00	But the president mentioned a couple of other ideas I'll just note. First, education. I
10:46:00	agree: Education is key, particularly the future of our economy. But our training programs
10:51:00	right now, we've got 47 of them, housed in the federal government, reporting to eight
10:55:00	different agencies. Overhead is overwhelming. We've got to get those dollars back to the
11:00:00	states and go to the workers so they can create their own pathways to get in the training
11:04:00	they need for jobs that will really help them.
11:07:00	The second area, taxation, we agree, we ought to bring the tax rates down. And I do, both
11:11:00	for corporations and for individuals. But in order for us not to lose revenue, have
11:16:00	the government run out of money, I also lower deductions and credits and exemptions, so
11:21:00	that we keep taking in the same money when you also account for growth.
11:24:00	The third area, energy. Energy is critical, and the president pointed out correctly that
11:29:00	production of oil and gas in the U.S. is up. But not due to his policies. In spite of his
11:35:00	policies.
11:36:00	Mr. President, all of the increase in natural gas and oil has happened on private land,
11:42:00	not on government land. On government land, your administration has cut the number of
11:47:00	permits and licenses in half. If I'm president, I'll double them, and also get the -- the
11:53:00	oil from offshore and Alaska. And I'll bring that pipeline in from Canada.
11:57:00	And, by the way, I like coal. I'm going to make sure we can continue to burn clean coal.
12:02:00	People in the coal industry feel like it's getting crushed by your policies. I want to
12:06:00	get America and North America energy independent so we can create those jobs.
12:11:00	And finally, with regards to that tax cut, look, I'm not looking to cut massive taxes
12:16:00	and to reduce the -- the revenues going to the government. My -- my number-one principal
12:21:00	is, there will be no tax cut that adds to the deficit. I want to underline that: no
12:25:00	tax cut that adds to the deficit.
12:27:00	But I do want to reduce the burden being paid by middle-income Americans. And I -- and to
12:33:00	do that, that also means I cannot reduce the burden paid by high-income Americans. So any
12:37:00	any language to the contrary is simply not accurate. LEHRER: Mr. President?
12:41:00	OBAMA: Well, I think -- let's talk about taxes, because I think it's instructive. Now, four
12:48:00	years ago, when I stood on this stage, I said that I would cut taxes for middle-class families.
12:55:00	And that's exactly what I did. We cut taxes for middle-class families by about $3,600.
13:02:00	And the reason is, because I believe that we do best when the middle class is doing
13:08:00	well. And by giving them those tax cuts, they had a little more money in their pocket, and
13:14:00	so maybe they can buy a new car. They are certainly in a better position to weather
13:19:00	the extraordinary recession that we went through. They can buy a computer for their kid who's
13:23:00	going off to college, which means they're spending more money, businesses have more
13:27:00	customers, businesses make more profits, and then hire more workers.
13:30:00	Now, Governor Romney's proposal that he has been promoting for 18 months calls for a $5
13:37:00	trillion tax cut, on top of $2 trillion of additional spending for our military. And
13:43:00	he is saying that he is going to pay for it by closing loopholes and deductions. The problem
13:49:00	is that he's been asked over 100 times how you would close those deductions and loopholes,
13:55:00	and he hasn't been able to identify them.
13:57:00	But I'm going to make an important point here, Jim.
13:59:00	LEHRER: All right.
13:59:00	OBAMA: When you add up all the loopholes and deductions that upper-income individuals can
14:06:00	-- are currently taking advantage of, you take those all away, you don't come close
14:10:00	to paying for $5 trillion in tax cuts and $2 trillion in additional military spending.
14:15:00	OBAMA: And that's why independent studies looking at this said the only way to meet
14:20:00	Governor Romney's pledge of not reducing the deficit or -- or -- or not adding to the deficit
14:27:00	is by burdening middle-class families. The average middle-class family with children
14:31:00	would pay about $2,000 more.
14:34:00	Now, that's not my analysis. That's the analysis of economists who have looked at this. And
14:38:00	 and that kind of top -- top-down economics, where folks at the top are doing well, so
14:43:00	the average person making $3 million is getting a $250,000 tax break, while middle-class families
14:50:00	are burdened further, that's not what I believe is a recipe for economic growth.
14:55:00	LEHRER: All right. What is the difference? Let's just stay on taxes.
14:57:00	(CROSSTALK)
14:58:00	LEHRER: Just -- let's just stay on taxes for (inaudible).
15:01:00	(CROSSTALK)
15:01:00	LEHRER: What is the difference...
15:01:00	ROMNEY: Well, but -- but virtually -- virtually everything he just said about my tax plan
15:04:00	is inaccurate.
15:05:00	LEHRER: All right.
15:06:00	ROMNEY: So if the tax plan he described were a tax plan I was asked to support, I'd say
15:10:00	absolutely not. I'm not looking for a $5 trillion tax cut. What I've said is I won't put in
15:16:00	place a tax cut that adds to the deficit. That's part one. So there's no economist that
15:21:00	can say Mitt Romney's tax plan adds $5 trillion if I say I will not add to the deficit with
15:26:00	my tax plan.
15:27:00	Number two, I will not reduce the share paid by high-income individuals. I know that you
15:32:00	and your running mate keep saying that and I know it's a popular thing to say with a
15:35:00	lot of people, but it's just not the case. Look, I've got five boys. I'm used to people
15:40:00	saying something that's not always true, but just keep on repeating it and ultimately hoping
15:44:00	I'll believe it. But that -- that is not the case. All right? I will not reduce the taxes
15:49:00	paid by high-income Americans.
15:52:00	And number three, I will not under any circumstances raise taxes on middle-income families. I will
15:58:00	lower taxes on middle-income families. Now, you cite a study. There are six other studies
16:02:00	that looked at the study you describe and say it's completely wrong. I saw a study that
16:06:00	came out today that said you're going to raise taxes by $3,000 to $4,000 on middle-income
16:11:00	families.
16:12:00	There are all these studies out there. But let's get at the bottom line. That is, I want
16:16:00	to bring down rates. I want to bring the rates down, at the same time lower deductions and
16:21:00	exemptions and credits and so forth, so we keep getting the revenue we need. And you'd
16:25:00	think, well, then why lower the rates?
16:27:00	ROMNEY: And the reason is because small business pays that individual rate; 54 percent of America's
16:34:00	workers work in businesses that are taxed not at the corporate tax rate, but at the
16:39:00	individual tax rate. And if we lower that rate, they will be able to hire more people.
16:45:00	For me, this is about jobs. This is about getting jobs for the American people.
16:49:00	(CROSSTALK)
16:49:00	LEHRER: That's where we started. Yeah.
16:50:00	Do you challenge what the governor just said about his own plan?
16:54:00	OBAMA: Well, for 18 months he's been running on this tax plan. And now, five weeks before
17:00:00	the election, he's saying that his big, bold idea is, "Never mind."
17:05:00	And the fact is that if you are lowering the rates the way you described, Governor, then
17:13:00	it is not possible to come up with enough deductions and loopholes that only affect
17:17:00	high-income individuals to avoid either raising the deficit or burdening the middle class.
17:25:00	It's -- it's math. It's arithmetic.
17:28:00	Now, Governor Romney and I do share a deep interest in encouraging small-business growth.
17:33:00	So at the same time that my tax plan has already lowered taxes for 98 percent of families,
17:41:00	I also lowered taxes for small businesses 18 times. And what I want to do is continue
17:49:00	the tax rates -- the tax cuts that we put into place for small businesses and families.
17:55:00	But I have said that for incomes over $250,000 a year, that we should go back to the rates
18:02:00	that we had when Bill Clinton was president, when we created 23 million new jobs, went
18:06:00	from deficit to surplus, and created a whole lot of millionaires to boot.
18:10:00	And the reason this is important is because by doing that, we cannot only reduce the deficit,
18:15:00	we cannot only encourage job growth through small businesses, but we're also able to make
18:20:00	the investments that are necessary in education or in energy.
18:24:00	OBAMA: And we do have a difference, though, when it comes to definitions of small business.
18:29:00	Under -- under my plan, 97 percent of small businesses would not see their income taxes
18:35:00	go up. Governor Romney says, well, those top 3 percent, they're the job creators, they'd
18:40:00	be burdened.
18:41:00	But under Governor Romney's definition, there are a whole bunch of millionaires and billionaires
18:46:00	who are small businesses. Donald Trump is a small business. Now, I know Donald Trump
18:50:00	doesn't like to think of himself as small anything, but -- but that's how you define
18:56:00	small businesses if you're getting business income.
18:58:00	And that kind of approach, I believe, will not grow our economy, because the only way
19:04:00	to pay for it without either burdening the middle class or blowing up our deficit is
19:11:00	to make drastic cuts in things like education, making sure that we are continuing to invest
19:19:00	in basic science and research, all the things that are helping America grow. And I think
19:24:00	that would be a mistake.
19:24:00	LEHRER: All right.
19:25:00	ROMNEY: Jim, let me just come back on that -- on that point, which is these...
19:28:00	LEHRER: Just for the -- just for record...
19:29:00	(CROSSTALK)
19:29:00	ROMNEY: ... the small businesses we're talking about...
19:30:00	LEHRER: Excuse me. Excuse me. Just so everybody understands, we're way over our first 15 minutes.
19:35:00	ROMNEY: It's fun, isn't it?
19:36:00	LEHRER: It's OK, it's great. No problem. Well, you all don't have -- you don't have a problem,
19:39:00	I don't have a problem, because we're still on the economy. We're going to come back to
19:43:00	taxes. I want move on to the deficit and a lot of other things, too.
19:47:00	OK, but go ahead, sir.
19:48:00	ROMNEY: You bet. Well, President, you're -- Mr. President, you're absolutely right, which
19:52:00	is that, with regards to 97 percent of the businesses are not -- not taxed at the 35
19:56:00	percent tax rate, they're taxed at a lower rate. But those businesses that are in the
20:00:00	last 3 percent of businesses happen to employ half -- half of all the people who work in
20:06:00	small business. Those are the businesses that employ one-quarter of all the workers in America.
20:11:00	And your plan is to take their tax rate from 35 percent to 40 percent.
20:15:00	Now, and -- and I've talked to a guy who has a very small business. He's in the electronics
20:20:00	business in -- in St. Louis. He has four employees. He said he and his son calculated how much
20:24:00	they pay in taxes, federal income tax, federal payroll tax, state income tax, state sales
20:30:00	tax, state property tax, gasoline tax. It added up to well over 50 percent of what they
20:35:00	earned. And your plan is to take the tax rate on successful small businesses from 35 percent
20:41:00	to 40 percent. The National Federation of Independent Businesses has said that will
20:46:00	cost 700,000 jobs.
20:49:00	I don't want to cost jobs. My priority is jobs. And so what I do is I bring down the
20:55:00	tax rates, lower deductions and exemptions, the same idea behind Bowles-Simpson, by the
21:01:00	way, get the rates down, lower deductions and exemptions, to create more jobs, because
21:06:00	there's nothing better for getting us to a balanced budget than having more people working,
21:11:00	earning more money, paying more taxes. That's by far the most effective and efficient way
21:16:00	to get this budget balanced.
21:18:00	OBAMA: Jim, I -- you may want to move onto another topic, but I -- I would just say this
21:21:00	to the American people. If you believe that we can cut taxes by $5 trillion and add $2
21:29:00	trillion in additional spending that the military is not asking for, $7 trillion -- just to
21:35:00	give you a sense, over 10 years, that's more than our entire defense budget -- and you
21:42:00	think that by closing loopholes and deductions for the well-to-do, somehow you will not end
21:47:00	up picking up the tab, then Governor Romney's plan may work for you.
21:53:00	But I think math, common sense, and our history shows us that's not a recipe for job growth.
22:00:00	Look, we've tried this. We've tried both approaches. The approach that Governor Romney's talking
22:07:00	about is the same sales pitch that was made in 2001 and 2003, and we ended up with the
22:15:00	slowest job growth in 50 years, we ended up moving from surplus to deficits, and it all
22:22:00	culminated in the worst financial crisis since the Great Depression.
22:25:00	OBAMA: Bill Clinton tried the approach that I'm talking about. We created 23 million new
22:30:00	jobs. We went from deficit to surplus. And businesses did very well. So, in some ways,
22:39:00	we've got some data on which approach is more likely to create jobs and opportunity for
22:44:00	Americans and I believe that the economy works best when middle-class families are getting
22:49:00	tax breaks so that they've got some money in their pockets, and those of us who have
22:54:00	done extraordinarily well because of this magnificent country that we live in, that
22:59:00	we can afford to do a little bit more to make sure we're not blowing up the deficit.
23:02:00	ROMNEY: Jim, the president began this segment, so I think I get the last word.
23:06:00	(CROSSTALK)
23:06:00	LEHRER: Well, you're going to get the first word in the next segment.
23:08:00	ROMNEY: All right. Well, but he gets the first word of that segment. I get the last word
23:11:00	(inaudible) I hope. Let me just make this comment.
23:13:00	(CROSSTALK)
23:13:00	ROMNEY: I think first of all, let me -- let me repeat -- let me repeat what I said. I'm
23:17:00	not in favor of a $5 trillion tax cut. That's not my plan. My plan is not to put in place
23:23:00	any tax cut that will add to the deficit. That's point one.
23:26:00	So you may keep referring to it as a $5 trillion tax cut, but that's not my plan.
23:30:00	Number two, let's look at history. My plan is not like anything that's been tried before.
23:36:00	My plan is to bring down rates, but also bring down deductions and exemptions and credits
23:40:00	at the same time so the revenue stays in, but that we bring down rates to get more people
23:46:00	working.
23:46:00	My priority is putting people back to work in America. They're suffering in this country.
23:51:00	And we talk about evidence. Look at the evidence of the last four years. It's absolutely extraordinary.
23:58:00	We've got 23 million people out of work or stopped looking for work in this country.
24:03:00	It's just -- it's -- we've got -- when the president took office, 32 million people on
24:07:00	food stamps; 47 million on food stamps today; economic growth this year slower than last
24:13:00	year, and last year slower than the year before.
24:16:00	Going forward with the status quo is not going to cut it for the American people who are
24:20:00	struggling today.
24:21:00	LEHRER: All right. Let's talk -- we're still on the economy. This is, theoretically now,
24:26:00	a second segment still on the economy, and specifically on what to do about the federal
24:33:00	deficit, the federal debt.
24:35:00	And the question, you each have two minutes on this, and Governor Romney, you -- you go
24:40:00	first because the president went first on segment one. And the question is this, what
24:44:00	are the differences between the two of you as to how you would go about tackling the
24:50:00	deficit problem in this country?
24:51:00	ROMNEY: Good. I'm glad you raised that, and it's a -- it's a critical issue. I think it's
24:56:00	not just an economic issue, I think it's a moral issue. I think it's, frankly, not moral
25:01:00	for my generation to keep spending massively more than we take in, knowing those burdens
25:06:00	are going to be passed on to the next generation and they're going to be paying the interest
25:10:00	and the principal all their lives.
25:12:00	And the amount of debt we're adding, at a trillion a year, is simply not moral.
25:17:00	So how do we deal with it? Well, mathematically, there are three ways that you can cut a deficit.
25:22:00	One, of course, is to raise taxes. Number two is to cut spending. And number is to grow
25:27:00	the economy, because if more people work in a growing economy, they're paying taxes, and
25:32:00	you can get the job done that way.
25:34:00	The presidents would -- president would prefer raising taxes. I understand. The problem with
25:38:00	raising taxes is that it slows down the rate of growth. And you could never quite get the
25:42:00	job done. I want to lower spending and encourage economic growth at the same time.
25:47:00	What things would I cut from spending? Well, first of all, I will eliminate all programs
25:51:00	by this test, if they don't pass it: Is the program so critical it's worth borrowing money
25:56:00	from China to pay for it? And if not, I'll get rid of it. Obamacare's on my list.
26:00:00	I apologize, Mr. President. I use that term with all respect, by the way.
26:03:00	OBAMA: I like it.
26:04:00	ROMNEY: Good. OK, good. So I'll get rid of that.
26:06:00	I'm sorry, Jim, I'm going to stop the subsidy to PBS. I'm going to stop other things. I
26:11:00	like PBS, I love Big Bird. Actually like you, too. But I'm not going to -- I'm not going
26:15:00	to keep on spending money on things to borrow money from China to pay for. That's number
26:19:00	one.
26:19:00	Number two, I'll take programs that are currently good programs but I think could be run more
26:23:00	efficiently at the state level and send them to the state.
26:27:00	ROMNEY: Number three, I'll make government more efficient and to cut back the number
26:30:00	of employees, combine some agencies and departments. My cutbacks will be done through attrition,
26:35:00	by the way.
26:36:00	This is the approach we have to take to get America to a balanced budget.
26:39:00	The president said he'd cut the deficit in half. Unfortunately, he doubled it. Trillion-dollar
26:45:00	deficits for the last four years. The president's put it in place as much public debt -- almost
26:51:00	as much debt held by the public as al prior presidents combined.
26:55:00	LEHRER: Mr. President, two minutes.
26:57:00	OBAMA: When I walked into the Oval Office, I had more than a trillion-dollar deficit
27:01:00	greeting me. And we know where it came from: two wars that were paid for on a credit card;
27:08:00	two tax cuts that were not paid for; and a whole bunch of programs that were not paid
27:14:00	for; and then a massive economic crisis.
27:20:00	And despite that, what we've said is, yes, we had to take some initial emergency measures
27:25:00	to make sure we didn't slip into a Great Depression, but what we've also said is, let's make sure
27:31:00	that we are cutting out those things that are not helping us grow.
27:34:00	So 77 government programs, everything from aircrafts that the Air Force had ordered but
27:41:00	weren't working very well, 18 government -- 18 government programs for education that were
27:46:00	well-intentioned, not weren't helping kids learn, we went after medical fraud in Medicare
27:53:00	and Medicaid very aggressively, more aggressively than ever before, and have saved tens of billions
27:58:00	of dollars, $50 billion of waste taken out of the system.
28:01:00	And I worked with Democrats and Republicans to cut a trillion dollars out of our discretionary
28:07:00	domestic budget. That's the largest cut in the discretionary domestic budget since Dwight
28:12:00	Eisenhower.
28:13:00	Now, we all know that we've got to do more. And so I've put forward a specific $4 trillion
28:20:00	deficit reduction plan. It's on a website. You can look at all the numbers, what cuts
28:24:00	we make and what revenue we raise.
28:28:00	And the way we do it is $2.50 for every cut, we ask for $1 of additional revenue, paid
28:36:00	for, as I indicated earlier, by asking those of us who have done very well in this country
28:41:00	to contribute a little bit more to reduce the deficit. Governor Romney earlier mentioned
28:45:00	the Bowles-Simpson commission. Well, that's how the commission -- bipartisan commission
28:51:00	that talked about how we should move forward suggested we have to do it, in a balanced
28:54:00	way with some revenue and some spending cuts. And this is a major difference that Governor
29:00:00	Romney and I have.
29:01:00	Let -- let me just finish their point, because you're looking for contrast. You know, when
29:06:00	Governor Romney stood on a stage with other Republican candidates for the nomination and
29:12:00	he was asked, would you take $10 of spending cuts for just $1 of revenue? And he said no.
29:23:00	Now, if you take such an unbalanced approach, then that means you are going to be gutting
29:29:00	our investments in schools and education. It means that Governor Romney...
29:34:00	(CROSSTALK)
29:34:00	OBAMA: ... talked about Medicaid and how we could send it back to the states, but effectively
29:38:00	this means a 30 percent cut in the primary program we help for seniors who are in nursing
29:43:00	homes, for kids who are with disabilities.
29:45:00	LEHRER: Mr. President, I'm sorry.
29:46:00	OBAMA: And -- and that is not a right strategy for us to move forward.
29:49:00	LEHRER: Way over the two minutes.
29:50:00	OBAMA: Sorry.
29:51:00	LEHRER: Governor, what about Simpson-Bowles? Do you support Simpson-Bowles?
29:54:00	ROMNEY: Simpson-Bowles, the president should have grabbed that.
29:57:00	LEHRER: No, I mean, do you support Simpson-Bowles?
29:58:00	ROMNEY: I have my own plan. It's not the same as Simpson- Bowles. But in my view, the president
30:03:00	should have grabbed it. If you wanted to make some adjustments to it, take it, go to Congress,
30:07:00	fight for it.
30:08:00	OBAMA: That's what we've done, made some adjustments to it, and we're putting it forward before
30:11:00	Congress right now, a $4 trillion plan...
30:12:00	ROMNEY: But you've been -- but you've been president four years...
30:14:00	(CROSSTALK)
30:14:00	ROMNEY: You've been president four years. You said you'd cut the deficit in half. It's
30:17:00	now four years later. We still have trillion-dollar deficits. The CBO says we'll have a trillion-dollar
30:21:00	deficit each of the next four years. If you're re-elected, we'll get to a trillion-dollar
30:26:00	debt.
30:26:00	ROMNEY: I mean, you have said before you'd cut the deficit in half. And this -- I love
30:30:00	this idea of $4 trillion in cuts. You found $4 trillion of ways to reduce or to get closer
30:35:00	to a balanced budget, except we still show trillion-dollar deficits every year. That
30:39:00	doesn't get the job done.
30:41:00	Let me come back and say, why is it that I don't want to raise taxes? Why don't I want
30:46:00	to raise taxes on people? And actually, you said it back in 2010. You said, "Look, I'm
30:51:00	going to extend the tax policies that we have now; I'm not going to raise taxes on anyone,
30:56:00	because when the economy is growing slow like this, when we're in recession, you shouldn't
30:59:00	raise taxes on anyone."
31:01:00	Well, the economy is still growing slow. As a matter of fact, it's growing much more slowly
31:05:00	now than when you made that statement. And so if you believe the same thing, you just
31:10:00	don't want to raise taxes on people. And the reality is it's not just wealthy people -- you
31:14:00	mentioned Donald Trump. It's not just Donald Trump you're taxing. It's all those businesses
31:18:00	that employ one-quarter of the workers in America; these small businesses that are taxed
31:22:00	as individuals.
31:24:00	You raise taxes and you kill jobs. That's why the National Federation of Independent
31:28:00	Businesses said your plan will kill 700,000 jobs. I don't want to kill jobs in this environment.
31:34:00	I'll make one more point.
31:35:00	(CROSSTALK)
31:36:00	LEHRER: (inaudible) answer the taxes thing for a moment.
31:38:00	ROMNEY: OK.
31:39:00	LEHRER: Mr. President?
31:40:00	OBAMA: Well, we've had this discussion before.
31:43:00	LEHRER: About the idea that in order to reduce the deficit, there has to be revenue in addition
31:49:00	to cuts.
31:49:00	OBAMA: There has to be revenue in addition to cuts. Now, Governor Romney has ruled out
31:53:00	revenue. He's ruled out revenue.
31:56:00	(CROSSTALK)
31:56:00	ROMNEY: Absolutely. (CROSSTALK)
31:57:00	ROMNEY: Look, the revenue I get is by more people working, getting higher pay, paying
32:03:00	more taxes. That's how we get growth and how we balance the budget. But the idea of taxing
32:07:00	people more, putting more people out of work, you'll never get there. You'll never balance
32:12:00	the budget by raising taxes.
32:14:00	Spain -- Spain spends 42 percent of their total economy on government. We're now spending
32:20:00	42 percent of our economy on government. I don't want to go down the path to Spain. I
32:24:00	want to go down the path of growth that puts Americans to work with more money coming in
32:29:00	because they're working.
32:30:00	LEHRER: But -- but Mr. President, you're saying in order to -- to get the job done, it's got
32:35:00	to be balanced. You've got to have...
32:36:00	(CROSSTALK)
32:36:00	OBAMA: If -- if we're serious, we've got to take a balanced, responsible approach. And
32:40:00	by the way, this is not just when it comes to individual taxes. Let's talk about corporate
32:44:00	taxes.
32:46:00	Now, I've identified areas where we can, right away, make a change that I believe would actually
32:53:00	help the economy.
32:54:00	The oil industry gets $4 billion a year in corporate welfare. Basically, they get deductions
33:02:00	that those small businesses that Governor Romney refers to, they don't get.
33:06:00	Now, does anybody think that ExxonMobil needs some extra money, when they're making money
33:14:00	every time you go to the pump? Why wouldn't we want to eliminate that? Why wouldn't we
33:20:00	eliminate tax breaks for corporate jets? My attitude is, if you got a corporate jet, you
33:26:00	can probably afford to pay full freight, not get a special break for it.
33:30:00	When it comes to corporate taxes, Governor Romney has said he wants to, in a revenue
33:34:00	neutral way, close loopholes, deductions -- he hasn't identified which ones they are -- but
33:41:00	that thereby bring down the corporate rate.
33:44:00	Well, I want to do the same thing, but I've actually identified how we can do that. And
33:49:00	part of the way to do it is to not give tax breaks to companies that are shipping jobs
33:53:00	overseas.
33:54:00	Right now, you can actually take a deduction for moving a plant overseas. I think most
34:01:00	Americans would say that doesn't make sense. And all that raises revenue.
34:05:00	And so if we take a balanced approach, what that then allows us to do is also to help
34:12:00	young people, the way we already have during my administration, make sure that they can
34:16:00	afford to go to college.
34:17:00	OBAMA: It means that the teacher that I met in Las Vegas, a wonderful young lady, who
34:23:00	describes to me -- she's got 42 kids in her class. The first two weeks she's got them,
34:29:00	some of them sitting on the floor until finally they get reassigned. They're using text books
34:33:00	that are 10 years old.
34:36:00	That is not a recipe for growth. That's not how America was built. And so budgets reflect
34:42:00	choices.
34:43:00	Ultimately, we're going to have to make some decisions. And if we're asking for no revenue,
34:48:00	then that means that we've got to get rid of a whole bunch of stuff.
34:51:00	And the magnitude of the tax cuts that you're talking about, Governor, would end up resulting
34:56:00	in severe hardship for people, but more importantly, would not help us grow.
35:02:00	As I indicated before, when you talk about shifting Medicaid to states, we're talking
35:07:00	about potentially a 30 -- a 30 percent cut in Medicaid over time.
35:12:00	Now, you know, that may not seem like a big deal when it just is, you know, numbers on
35:20:00	a sheet of paper, but if we're talking about a family who's got an autistic kid and is
35:24:00	depending on that Medicaid, that's a big problem.
